date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-08-08,552.0,250201.5,3.0,35190.0,26631.0,3338647.0,1132.6853171738226,159.30838268894,15114.363567470344
2020-08-09,347.0,250548.5,13.0,35203.0,22773.0,3361420.0,1134.2562182477943,159.3672348905585,15217.459043428718
2020-08-10,463.0,251011.5,2.0,35205.0,10904.0,3372324.0,1136.3522620439005,159.3762890754229,15266.822459309373
2020-08-11,259.0,251270.5,4.0,35209.0,22063.0,3394387.0,1137.524778983839,159.3943974451517,15366.70369964089
2020-08-12,412.0,251682.5,6.0,35215.0,27330.0,3421717.0,1139.3899410659033,159.42155999974486,15490.429135812778
2020-08-13,476.0,252158.5,10.0,35225.0,25629.0,3447346.0,1141.5448370636282,159.4668309240668,15606.453987757503
2020-08-14,522.0,252680.5,6.0,35231.0,24868.0,3472214.0,1143.907979313234,159.49399347865997,15719.033722361326
2020-08-15,574.0,253254.5,3.0,35234.0,25937.0,3498151.0,1146.5065303693136,159.50757475595657,15836.452918775165
2020-08-16,629.0,253883.5,158.0,35392.0,22470.0,3520621.0,1149.3540715091644,160.22285536024336,15938.176685726587
2020-08-17,477.0,254360.5,4.0,35396.0,21379.0,3542000.0,1151.5134945993213,160.24096372997215,16034.961394834481
2020-08-18,320.0,254680.5,4.0,35400.0,32687.0,3574687.0,1152.9621641776237,160.25907209970092,16182.938465165638
2020-08-19,401.0,255081.5,5.0,35405.0,41290.0,3615977.0,1154.7775282429338,160.28170756186188,16369.862111690967
2020-08-20,642.0,255723.5,7.0,35412.0,49662.0,3665639.0,1157.683921584403,160.31339720888727,16594.686576058633
2020-08-21,840.0,256563.5,6.0,35418.0,44943.0,3710582.0,1161.4866792274468,160.34055976348043,16798.14769123877
2020-08-22,947.0,257510.5,9.0,35427.0,46613.0,3757195.0,1165.7738357607354,160.38130359537018,17009.16905078067
2020-08-23,1071.0,258581.5,3.0,35430.0,47463.0,3804658.0,1170.6223517556161,160.39488487266678,17224.03843888994
2020-08-24,1209.0,259790.5,7.0,35437.0,33358.0,3838016.0,1176.0956065061398,160.42657451969214,17375.0531882431
2020-08-25,953.0,260743.5,4.0,35441.0,45798.0,3883814.0,1180.4099255940216,160.4446828894209,17582.384967452763
2020-08-26,876.0,261619.5,4.0,35445.0,58054.0,3941868.0,1184.3756585646245,160.4627912591497,17845.200791511408
2020-08-27,1366.0,262985.5,13.0,35458.0,57640.0,3999508.0,1190.5596668270027,160.52164346076822,18106.142399303124
2020-08-28,1409.0,264394.5,5.0,35463.0,65135.0,4064643.0,1196.9383400639654,160.5442789229292,18401.01456487414
2020-08-29,1460.0,265854.5,9.0,35472.0,64294.0,4128937.0,1203.54789501497,160.58502275481897,18692.079445709685
2020-08-30,1444.0,267298.5,1.0,35473.0,53541.0,4182478.0,1210.0850164870594,160.58954984725113,18934.464501621835
2020-08-31,1365.0,268663.5,4.0,35477.0,42583.0,4225061.0,1216.2644976570057,160.60765821697993,19127.24167866199
2020-09-01,996.0,269659.5,6.0,35483.0,54395.0,4279456.0,1220.7734817194716,160.6348207715731,19373.492871511233
2020-09-02,975.0,270634.5,8.0,35491.0,,,1225.1873968408618,160.67103751103065,
2020-09-03,1326.0,271960.5,6.0,35497.0,,,1231.1903214059523,160.69820006562384,
